CASE,CITATION,DATE,YEAR,DECADE,DECISION,DECISION2,EFFECT,STAT NAME,STAT CITE,PL #,S-DATE,TIME TO DECISION,CONGRESS,AREA1,AREA2,LNDMRK,LNDDTL,ATT GEN,CERT,REVERSD,CRS,GVT PRTY,DISSENT,H-CT
Casey v. United States,276 U.S. 413,4/9/28,1928,1920,0,0,upheld,"Anti-Narcotic Act (Harrison Act), Revenue Act of 1918",40 Stat. 1057,65-254,2/24/19,109,65,4,,0,0,1,1,0,0,1,4,1
Untermyer v. Anderson,276 U.S. 440,4/9/28,1928,1920,1,1,struck down as applied,Revenue Act of 1924 (Gift Tax Acts),43 Stat. 253,68-176,6/2/24,46,68,4,,1,0,1,1,1,1,1,0,0
National Life Insurance Co. v. United States,277 U.S. 508,6/4/28,1928,1920,1,1,struck down as applied,Revenue Act of 1921,42 Stat. 227,67-98,11/23/21,78,67,4,,0,0,1,1,1,1,1,3,0
Chase National Bank v. United States,278 U.S. 327,1/2/29,1929,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,11/23/21,85,67,4,,0,0,1,0,0,0,1,2,0
Wisconsin v. Illinois,278 U.S. 367,1/14/29,1929,1920,0,0,upheld,Rivers and Harbors Appropriations Act of 1899,30 Stat. 1151,,3/3/1899,358,55,5,,0,0,0,0,0,0,0,0,0
Arlington Hotel Co. v. Fant,278 U.S. 439,2/18/29,1929,1920,0,0,upheld,"Hot Springs Reservation, Arkansas, Jurisdiction Accepted",33 stat 187,58-124,4/20/04,298,58,5,,0,0,0,0,0,0,0,0,0
Taft v. Bowers,278 U.S. 470,2/18/29,1929,1920,0,0,upheld,Revenue Act of 1921,42 Stat. 227,67-98,11/23/21,87,67,4,,0,0,1,1,0,0,1,0,0
Highland v. Russell Car & Snow Plow Co.,279 U.S. 253,4/8/29,1929,1920,0,0,upheld,Lever Act (Food Control),40 stat 276,65-41,8/10/17,140,65,4,1,1,1,0,1,0,0,0,0,1
Sinclair v. United States,279 U.S. 263,4/8/29,1929,1920,0,0,upheld,National Defense Act Amendments,41 Stat. 759,66-242,6/4/20,106,66,1,4,0,0,0,0,0,0,1,0,0
Ex Parte Worcester County National Bank,279 U.S. 347,5/13/29,1929,1920,0,0,upheld,McFadden Act (Branch Banks),44 Stat. 1224,69-369,2/25/27,26,69,5,4,0,0,0,0,0,0,0,0,0
United States v. Schwimmer,279 U.S. 644,5/27/29,1929,1920,0,0,upheld,Naturalization of Aliens Act,34 Stat. 596,59-338,6/29/06,275,59,1,,1,0,1,1,1,0,1,3,0
Pocket Veto Cases,279 U.S. 655,5/27/29,1929,1920,2,1,struck down on face,Indian Claims Act (Senate Bill 3185),44 Stat. 555,69-228,6/24/26,35,69,6,,0,0,1,1,0,0,1,0,0
Old Colony Trust Co. v. Commissioner,279 U.S. 716,6/3/29,1929,1920,0,0,upheld,"Revenue Act of 1924, Revenue Act of 1926",43 Stat. 253,68-176,2/26/26,45,69,4,1,1,0,1,0,0,0,1,1,0
County of Spokane v. United States,279 U.S. 80,4/8/29,1929,1920,0,0,upheld,Duties Act of 1799,1. Stat. 627,5-18,3/2/1799,1559,5,4,,0,0,1,1,0,0,1,0,1
Bromley v. McCaughn,280 U.S. 124,11/25/29,1929,1920,0,0,upheld,"Revenue Act of 1924, Revenue Act of 1926",43 Stat. 253,68-176,2/26/26,45,69,4,,1,0,1,0,0,0,1,3,0
United States v. Jackson,280 U.S. 183,1/6/30,1930,1930,0,0,upheld,34 Stat. 326,34 Stat. 326,59-258,6/21/06,283,59,4,,0,0,1,0,0,0,1,0,0
Clarke v. Haberle Crystal Springs Brewing Co.,280 U.S. 384,1/27/30,1930,1930,0,0,upheld,Revenue Act of 1918,40 Stat. 1078,65-254,2/24/19,131,65,4,,0,0,1,1,1,0,1,0,1
United States v. Wurzbach,280 U.S. 396,2/24/30,1930,1930,0,0,upheld,Federal Corrupt Practices Acts,43 Stat. 1073,68-506,2/28/25,60,68,5,1,1,1,1,0,1,0,1,0,0
Tagg Brothers & Moorhead v. United States,280 U.S. 420,2/24/30,1930,1930,0,0,upheld,Packers and Stockyards Act,42 Stat. 159,67-51,8/15/21,102,67,4,,1,1,1,0,0,0,1,0,0
Corliss v. Bowers,281 U.S. 376,4/28/30,1930,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 277,68-176,6/2/24,70,68,4,,1,0,1,1,0,0,1,0,0
Tyler v. United States,281 U.S. 497,5/19/30,1930,1930,0,0,upheld,Revenue Act of 1916,39 Stat. 777,64-271,9/8/16,164,64,4,,1,0,1,1,1,0,1,0,1
Texas & New Orleans Railroad Company et al. v. Brotherhood of Railway & Steamship Clerks et al.,281 U.S. 548,5/26/30,1930,1930,0,0,upheld,Railway Labor Act,44 Stat. 577,69-257,5/20/26,48,69,5,4,1,0,0,1,0,0,0,0,0
Ann Arbor Railroad Company v. United States,281 U.S. 658,6/2/30,1930,1930,1,1,struck down as applied,Hoch-Smith Resolution,43 Stat. 801,68-352,1/30/25,64,68,4,,0,0,1,0,1,0,1,0,0
Willcuts v. Bunn,282 U.S. 216,1/5/31,1931,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 268,68-176,6/2/24,79,68,5,,1,0,1,1,1,0,1,0,0
Graham & Foster v. Goodcell,282 U.S. 409,1/26/31,1931,1930,0,0,upheld,Revenue Act of 1928,45 Stat. 875,70-562,5/29/28,32,70,4,,0,0,1,1,0,0,1,0,0
Russian Volunteer Fleet v. United States,282 U.S. 481,2/24/31,1931,1930,1,1,struck down as applied,Emergency Shipping Fund Act,40 Stat. 183,65-23,6/15/17,164,65,4,,0,0,1,1,1,0,1,0,1
United States v. Sprague,282 U.S. 716,2/24/31,1931,1930,0,0,upheld,National Prohibition Act,41 Stat. 305,66-66,10/28/19,136,66,6,5,1,1,1,0,1,0,1,0,0
Milliken v. United States,283 U.S. 15,3/2/31,1931,1930,0,0,upheld,Revenue Act of 1918,40 Stat. 1096,65-254,2/24/19,145,65,1,4,0,0,1,1,0,0,1,0,1
Group No. 1 Oil Corp. v. Bass,283 U.S. 279,4/13/31,1931,1930,0,0,upheld,Revenue Act of 1928,45 Stat. 791,70-562,5/29/28,35,70,5,,0,0,1,1,0,0,1,0,0
Indian Motorcycle Co. v. United States,283 U.S. 570,5/25/31,1931,1930,1,1,struck down as applied,War Revenue Act of 1916,40 Stat. 300,65-50,10/3/17,164,65,4,,1,0,1,0,,,1,2,1
Phillips v. Commissioner,283 U.S. 589,5/25/31,1931,1930,0,0,upheld,Revenue Act of 1925,44 Stat. 61,69-20,2/26/26,63,69,1,,1,0,1,1,0,0,1,0,0
United States v. Macintosh,283 U.S. 605,5/25/31,1931,1930,0,0,upheld,Naturalization of Aliens Act,34 Stat. 596,59-338,6/29/06,299,59,2,,1,0,1,1,1,0,1,4,0
Louisiana Public Service Commission v. Texas & New Orleans Railroad Co.,284 U.S. 125,11/23/31,1931,1930,0,0,upheld,Interstate Commerce Act,24 Stat. 379,,2/4/1887,537,49,5,4,1,1,1,0,0,0,0,0,1
Phillips v. Dime Trust & Safe Deposit Co.,284 U.S. 160,11/23/31,1931,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 304,68-176,6/2/24,89,68,4,1,1,0,1,1,1,0,1,0,0
"Chicago, Rock Island, and Pacific Railway Co. v. United States",284 U.S. 80,11/23/31,1931,1930,1,1,struck down as applied,Transportation Act of 1920,41 Stat. 456,66-152,2/28/20,141,66,4,,1,0,1,0,1,0,1,3,0
"Atchison, Topeka & Sante Fe Railroad Co. v. United States",284 U.S. 248,1/4/32,1932,1930,1,1,struck down as applied,Hoch-Smith Resolution,43 Stat. 801,68-352,1/30/25,83,68,4,,0,0,1,0,1,0,1,0,0
Marine Transit Corp. v. Dreyfus,284 U.S. 263,1/4/32,1932,1930,0,0,upheld,United States Arbitration Act,43 Stat. 883,68-401,2/12/25,83,68,6,,0,0,0,1,0,0,0,0,0
Blackmer v. United States,284 U.S. 421,2/15/32,1932,1930,0,0,upheld,Walsh Act,44 Stat. 835,69-483,7/3/26,67,69,1,,0,0,0,1,0,0,1,0,0
Burnet v. Leininger,285 U.S. 136,3/14/32,1932,1930,0,0,upheld,Revenue Act of 1918,40 Stat. 1070,65-254,2/24/19,155,65,4,,0,0,1,1,0,0,1,0,1
Heiner v. Donnan,285 U.S. 312,3/21/32,1932,1930,2,1,struck down on face,Revenue Act of 1925,44 Stat. 70,69-20,2/26/26,73,69,4,,1,0,1,0,0,1,1,2,0
Burnet v. Coronado Oil & Gas Co.,285 U.S. 393,4/11/32,1932,1930,1,1,struck down as applied,Revenue Act of 1918,40 Stat. 1057,65-254,2/24/19,158,65,5,,0,0,1,1,0,0,1,4,1
Crowell v. Benson,285 U.S. 95,2/23/32,1932,1930,0,0,upheld,Longshortmen's and Harbor Workers' Compensation Act,44 Stat. 1424,69-803,3/4/27,59,69,4,,0,0,1,1,0,0,1,0,0
MacLaughlin v. Alliance Insurance Co.,286 U.S. 244,5/16/32,1932,1930,0,0,upheld,Revenue Act of 1928,45 Stat. 844,70-562,5/29/28,48,70,4,,0,0,1,0,0,0,1,0,0
"Atlantic Cleaners & Dyers, Inc. v. United States",286 U.S. 427,5/23/32,1932,1930,0,0,upheld,Sherman Anti-Trust Act,26 Stat. 209,,7/2/1890,502,51,4,5,1,0,1,0,0,0,1,0,0
Edwards v. United States,286 U.S. 482,5/31/32,1932,1930,0,0,upheld,An Act for Relief of Thomas C. Edwards,46 Stat. 2163,,3/5/31,14,71,6,,0,0,1,0,0,0,1,0,0
Colorado v. Symes,286 U.S. 510,5/31/32,1932,1930,1,1,struck down as applied,39 Stat. 532,39 Stat. 532,64-231,8/23/16,189,64,5,,0,0,1,0,0,0,1,2,1
New York Central Securities Corp. v. United States,287 U.S. 12,11/7/32,1932,1930,0,0,upheld,Transportation Act of 1920,41 Stat. 493,66-152,2/28/20,153,66,6,,1,0,1,0,0,0,1,0,0
Grau v. United States,287 U.S. 124,11/7/32,1932,1930,1,1,struck down as applied,National Prohibition Act,41 Stat. 305,66-66,10/28/19,157,66,1,,1,0,1,1,1,0,1,2,0
Norfolk & Western Railway Co. v. United States,287 U.S. 134,11/7/32,1932,1930,0,0,upheld,Transportation Act of 1920,41 Stat. 493,66-152,2/28/20,153,66,4,,1,0,1,0,0,0,1,0,0
Sgro v. United States,287 U.S. 206,12/5/32,1932,1930,1,1,struck down as applied,National Prohibition Act,41 Stat. 315,66-66,10/28/19,158,66,1,,1,0,1,1,1,0,1,2,0
Gwinn v. Commissioner,287 U.S. 224,12/5/32,1932,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 304,68-176,6/2/24,102,68,1,,1,0,1,1,0,0,1,0,0
Reichelderfer v. Quinn,287 U.S. 315,12/5/32,1932,1930,0,0,upheld,45 Stat. 667,45 Stat. 667,70-457,5/21/28,55,70,4,,0,0,0,1,1,0,0,0,0
Lloyd Sabaudo Societa Anonima Per Azioni v. Elting,287 U.S. 329,12/5/32,1932,1930,0,0,upheld,Immigration Act of 1917,39 Stat. 880,64-301,2/5/17,190,64,1,,1,0,1,1,1,0,1,0,1
United States v. Shreveport Grain & Elevator Co.,287 U.S. 77,11/7/32,1932,1930,0,0,upheld,Federal Food and Drugs Act of 1906 (Wiley Act),34 Stat. 768,59-384,6/30/06,317,59,1,6,1,1,1,0,1,0,1,0,0
Interstate Commerce Commission v. Oregon-Washington Railroad & Navigation Co.,288 U.S. 14,1/9/33,1933,1930,1,1,struck down as applied,Transportation Act of 1920,41 Stat. 456,66-152,2/28/20,155,66,4,,1,0,0,0,0,0,1,3,0
Burnet v. Brooks,288 U.S. 378,3/13/33,1933,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 303,68-176,6/2/24,105,68,4,,1,0,1,1,1,0,1,1,0
Porter v. Commissioner of Internal Revenue,288 U.S. 436,3/13/33,1933,1930,0,0,upheld,Revenue Act of 1925,44 Stat. 71,69-20,2/26/26,83,69,4,,1,0,1,1,0,0,1,0,0
United States v. Flores,289 U.S. 137,4/10/33,1933,1930,0,0,upheld,Penal Law Codification of 1909,35 Stat. 1143,60-350,3/4/09,289,60,5,6,1,0,1,0,1,0,1,0,0
Reinecke v. Smith,289 U.S. 172,4/10/33,1933,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 277,68-176,6/2/24,106,68,1,4,1,0,1,1,1,0,1,0,0
Federal Radio Commission v. Nelson Brothers Bond & Mortgage Co.,289 U.S. 266,5/8/33,1933,1930,0,0,upheld,Radio Act of 1927,45 Stat. 373,70-195,3/28/28,62,70,5,6,0,0,1,1,1,0,1,0,0
George More Ice Cream Co. v. Rose,289 U.S. 373,5/8/33,1933,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 343,68-176,6/2/24,107,68,1,,1,0,1,1,1,0,1,0,0
Board of Trustees of the University of Illinois v. United States,289 U.S. 48,3/20/33,1933,1930,0,0,upheld,Tariff Act of 1922,42 Stat. 858,67-318,9/21/22,126,67,5,,0,0,1,1,0,0,1,0,0
O'Donoghue v. United States,289 U.S. 516,5/29/33,1933,1930,0,0,upheld,Economy Act of 1932,47 Stat. 401,72-212,6/30/32,11,72,6,,0,0,1,0,0,0,1,3,1
Williams v. United States,289 U.S. 553,5/29/33,1933,1930,0,0,upheld,Economy Act of 1932,47 Stat. 402,72-212,6/30/32,11,72,6,,0,0,1,0,0,0,1,0,1
Burnet v. Wells,289 U.S. 670,5/29/33,1933,1930,0,0,upheld,Revenue Act of 1924,43 Stat. 253,68-176,6/2/24,107,68,4,,1,0,1,1,1,0,1,4,0
Nathanson v. United States,290 U.S. 41,11/6/33,1933,1930,1,1,struck down as applied,Tariff Act of 1930,46 Stat. 752,71-361,6/17/30,41,71,1,,1,0,1,1,1,0,1,0,0
Burroughs v. United States,290 U.S. 534,1/8/34,1934,1930,0,0,upheld,Federal Corrupt Practices Acts,43 Stat. 1070,68-506,2/28/25,107,68,5,,1,0,1,1,0,0,1,1,0
United States v. Chambers,291 U.S. 217,2/5/34,1934,1930,1,1,struck down as applied,National Prohibition Act,41 Stat. 305,66-66,10/28/19,172,66,5,1,1,1,1,0,0,0,1,0,0
Booth v. United States,291 U.S. 339,2/5/34,1934,1930,2,1,struck down on face,Independent Offices Appropriation Act of 1933,48 Stat. 307,73-78,6/16/33,8,73,6,,0,0,1,0,0,1,1,0,1
United States v. Jefferson Electrical Manufacturing Co.,291 U.S. 386,2/12/34,1934,1930,0,0,upheld,Revenue Act of 1928,45 Stat. 866,70-562,5/29/28,67,70,6,,0,0,1,1,1,0,1,0,0
United States v. Illinois,291 U.S. 457,3/5/34,1934,1930,0,0,upheld,43 Stat. 360,43 Stat. 360,68-185,6/3/24,117,68,1,,0,0,1,0,1,0,1,0,0
Helvering v. Independent Life Insurance Co.,292 U.S. 371,5/21/34,1934,1930,0,0,upheld,Revenue Act of 1921,42 Stat. 261,67-98,11/23/21,150,67,4,,0,0,1,1,1,0,1,1,0
Woodson v. Deutsche Gold and Silber Scheideanstalt Vormals Roessler,292 U.S. 449,5/28/34,1934,1930,0,0,upheld,Independent Offices Appropriation Act of 1935,48 Stat. 510,73-141,3/28/34,2,73,4,,1,0,1,1,1,0,1,0,1
Lynch v. United States,292 U.S. 571,6/4/34,1934,1930,2,1,struck down on face,Economy Act of 1933,48 Stat. 9,73-2,3/20/33,15,73,4,,1,0,1,1,1,1,1,0,1
Detroit Trust Co. v. The Thomas Barlum,293 U.S. 21,11/5/34,1934,1930,0,0,upheld,Merchant Marine Act of 1920,41 Stat. 1000,66-261,6/5/20,173,66,5,,1,0,0,1,1,0,0,0,0
Helvering v. Powers,293 U.S. 214,12/3/34,1934,1930,0,0,upheld,"Revenue Acts, sect. 212",44 Stat. 9,69-20,2/26/26,106,69,5,,1,0,1,1,1,0,1,0,0
Panama Refining Co. v. Ryan,293 U.S. 388,1/7/35,1935,1930,2,1,struck down on face,National Industrial Recovery Act,48 Stat. 200,73-67,6/16/33,19,73,6,,1,1,1,1,1,1,1,1,1
Norman v. Baltimore & Ohio Railroad Co.,294 U.S. 240,2/18/35,1935,1930,0,0,upheld,Gold Repeal Joint Resolution,48 Stat. 112,73-29,6/3/33,20,73,4,,1,1,1,1,0,0,1,4,1
Perry v. United States,294 U.S. 330,2/18/35,1935,1930,2,1,struck down on face,Gold Repeal Joint Resolution,48 Stat. 112,73-29,6/3/33,20,73,4,,1,1,1,0,0,1,1,4,1
"Continental Illinois National Bank & Trust Co. v. Chicago, Rock Island, and Pacific Railroad Co.",294 U.S. 648,4/1/35,1935,1930,0,0,upheld,Bankruptcy Act of 1898 Amendments,47 Stat. 1474,72-420,3/3/33,25,72,4,,0,0,1,1,0,0,0,0,1
Railroad Retirement Board v. Alton Railroad Co.,295 U.S. 330,5/6/35,1935,1930,2,1,struck down on face,Railroad Retirement Act,48 Stat. 1283,73-485,6/27/34,11,73,4,5,0,0,1,1,0,1,0,4,1
Stewart v. Keyes,295 U.S. 403,5/20/35,1935,1930,1,1,struck down as applied,44 Stat. 239,44 Stat. 239,69-98,4/10/26,109,69,4,1,0,0,0,0,0,0,0,0,0
A.L.A. Schechter Poultry Corp. v. United States,295 U.S. 495,5/27/35,1935,1930,2,1,struck down on face,National Industrial Recovery Act,48 Stat. 196,73-67,6/16/33,23,73,6,5,1,1,1,1,1,1,1,0,1
Louisvile Joint Stock Land Bank v. Radford,295 U.S. 555,5/27/35,1935,1930,2,1,struck down on face,Frazier-Lemke Act,48 Stat. 1289,73-486,6/28/34,11,73,4,,0,0,0,1,1,1,0,0,1
Humphrey's Executor v. United States,295 U.S. 602,5/27/35,1935,1930,0,0,upheld,Federal Trade Commission Act,38 Stat. 717,63-203,9/26/14,248,63,6,,1,0,1,0,0,0,1,0,1
United States v. Constantine,296 U.S. 287,12/9/35,1935,1930,2,1,struck down on face,Revenue Act of 1924,43 Stat. 328,68-176,6/2/26,114,68,5,,1,0,1,1,0,1,1,3,0
Hopkins Federal Savings & Loan Association v. Cleary,296 U.S. 315,12/9/35,1935,1930,2,1,struck down on face,49 Stat. 297,49 Stat. 297,74-76,5/28/35,7,74,5,,0,0,1,1,0,1,0,0,1
Becker Steel Co. v. Cummings,296 U.S. 74,11/11/35,1935,1930,1,1,struck down as applied,Winslow Act,42 Stat. 1511,67-536,3/4/23,152,67,4,1,0,0,1,1,1,0,1,2,0
Helvering v. City Bank Farmers Trust Co.,296 U.S. 85,11/11/35,1935,1930,0,0,upheld,Revenue Act of 1925,44 Stat. 70,69-20,2/26/26,117,69,4,,1,0,1,1,1,0,1,4,0
Helvering v. Helmholz,296 U.S. 93,11/11/35,1935,1930,1,1,struck down as applied,Revenue Act of 1925,44 Stat. 70,69-20,2/26/26,117,69,4,1,1,0,1,1,0,0,1,0,0
United States v. Butler,297 U.S. 1,1/9/36,1936,1930,2,1,struck down on face,Agricultural Adjustment Act,48 Stat. 31,73-10,5/12/33,32,73,5,4,1,1,1,1,0,1,1,3,1
"Rickert Rice Mills, Inc. v. Fontenot",297 U.S. 110,1/13/36,1936,1930,2,1,struck down on face,Potato Control Act,49 Stat. 750,74-320,8/24/35,5,74,5,4,0,0,1,1,0,1,1,0,1
United States v. California,297 U.S. 175,2/3/36,1936,1930,0,0,upheld,29 Stat. 85,29 Stat. 85,,4/1/1896,479,54,5,,0,0,1,1,1,0,1,0,0
Ashwander v. Tennessee Valley Authority,297 U.S. 288,2/17/36,1936,1930,0,0,upheld,Tennessee Valley Authority Act of 1933,49 Stat. 1075,74-412,8/31/35,7,74,5,,0,0,1,1,0,0,1,1,1
Whitfield v. Ohio,297 U.S. 431,3/2/36,1936,1930,0,0,upheld,45 Stat. 1084,45 Stat. 1084,70-670,1/19/29,86,70,5,6,0,0,0,1,0,0,0,0,0
United States v. Safety Car Heating & Lighting Co.,297 U.S. 88,1/6/36,1936,1930,0,0,upheld,Revenue Act of 1925,44 Stat. 9,69-20,2/26/26,119,69,4,1,1,0,1,1,1,0,1,3,0
Carter v. Carter Coal Co.,298 U.S. 238,5/18/36,1936,1930,2,1,struck down on face,Bituminous Coal Act of 1935,49 Stat. 991,74-402,8/30/35,9,74,5,4,1,1,1,1,1,1,0,4,1
Baltimore & Ohio Railroad Company v. United States,298 U.S. 349,5/18/36,1936,1930,1,1,struck down as applied,Interstate Commerce Act,24 Stat. 379,,2/4/1887,591,49,1,4,1,1,1,0,0,0,1,0,1
Ashton v. Cameron County Water Improvement District,298 U.S. 513,5/25/36,1936,1930,2,1,struck down on face,Bankruptcy Act of 1898 Amendments,48 Stat. 798,73-251,5/24/34,24,73,5,,0,0,1,1,1,1,0,4,1
United States v. Wood,299 U.S. 123,12/7/36,1936,1930,0,0,upheld,49 Stat. 682,49 Stat. 682,74-301,8/22/35,16,74,1,,0,0,1,1,1,0,1,3,1
United States v. Curtiss-Wright Export Corp.,299 U.S. 304,12/21/36,1936,1930,0,0,upheld,Gold Repeal Joint Resolution,48 Stat. 811,73-263,5/28/34,31,73,6,,0,0,1,0,1,0,1,1,1
Kentucky Whig & Collar Co. v. Illinois Central Railroad Co.,299 U.S. 334,1/4/37,1937,1930,0,0,upheld,49 Stat. 494,49 Stat. 494,74-215,7/24/35,18,74,5,,0,0,1,1,0,0,0,0,1
New York ex rel. Rogers v. Graves,299 U.S. 401,1/4/37,1937,1930,0,0,upheld,Spooner Act,32 Stat. 481,57-183,6/28/02,415,57,5,,1,0,0,0,1,0,0,0,0
Keuhner v. Irving Trust Co.,299 U.S. 445,1/4/37,1937,1930,0,0,upheld,Bankruptcy Act of 1898 Amendments,48 Stat. 912,73-296,6/7/34,31,73,4,,0,0,0,1,0,0,0,0,1
United States v. Hudson,299 U.S. 498,1/11/37,1937,1930,0,0,upheld,Silver Purchase Act of 1934,48 Stat. 1178,73-438,6/19/34,31,73,4,1,1,1,1,1,1,0,1,0,1
Hill v. United States ex rel. Weiner,300 U.S. 105,2/1/37,1937,1930,0,0,upheld,Clayton Anti-Trust Act,38 Stat. 730,63-212,10/15/14,268,63,4,,1,0,1,1,1,0,1,0,1
Cummings v. Deutsche Bank and Disconto-Gesellschaft,300 U.S. 115,2/1/37,1937,1930,0,0,upheld,Settlement of War Claims Act of 1928 Amendments,48 Stat. 1267,73-53,6/27/34,32,73,1,4,0,0,1,1,1,0,1,0,1
Holyoke Water Power Co. v. American Writing Paper Co.,300 U.S. 324,3/1/37,1937,1930,0,0,upheld,Gold Repeal Joint Resolution,48 Stat. 112,73-29,6/5/33,45,73,4,,1,1,1,1,0,0,0,4,1
Wright v. Vinton Branch of Mountain Trust Bank,300 U.S. 440,3/29/37,1937,1930,0,0,upheld,Bankruptcy Act of 1898 Amendments,49 Stat. 943,74-384,8/28/35,19,74,4,,1,1,0,1,1,0,0,0,1
Sonzinsky v. United States,300 U.S. 506,3/29/37,1937,1930,0,0,upheld,National Firearms Act,48 Stat. 1236,73-474,6/26/34,33,73,4,5,0,0,1,1,0,0,1,0,1
Virginian Railway Co. v. System Federation,300 U.S. 515,3/29/37,1937,1930,0,0,upheld,Railway Labor Act,48 Stat. 1185,73-442,6/21/34,33,73,5,,0,0,1,1,0,0,0,0,1
National Labor Relations Board v. Jones & Laughlin Steel Corp.,301 U.S. 1,4/12/37,1937,1930,0,0,upheld,National Labor Relations Act,49 Stat. 449,74-198,7/5/35,21,74,5,1,1,1,1,1,1,0,1,4,1
Associated Press v. National Labor Relations Board,301 U.S. 103,4/12/37,1937,1930,0,0,upheld,National Labor Relations Act,49 Stat. 449,74-198,7/5/35,21,74,5,2,1,0,1,1,0,0,1,4,1
Cincinnati Soap Co. v. United States,301 U.S. 308,5/3/37,1937,1930,0,0,upheld,Revenue Act of 1934,48 Stat. 763,73-216,5/10/34,36,73,4,6,0,0,1,1,0,0,1,0,1
Anniston Manufacturing Corp. v. Davis,301 U.S. 337,5/17/37,1937,1930,0,0,upheld,Revenue Act of 1936,49 Stat. 1747,74-740,6/22/36,11,74,1,4,0,0,1,1,0,0,1,1,1
Steward Machine Co. v. Davis,301 U.S. 548,5/24/37,1937,1930,0,0,upheld,Social Security Act,49 Stat. 620,74-271,8/14/35,21,74,4,5,1,1,1,1,0,0,1,4,1
Helvering v. Davis,301 U.S. 619,5/24/37,1937,1930,0,0,upheld,Social Security Act,49 Stat. 620,74-271,8/14/35,21,74,5,,1,1,1,1,1,0,1,6,1
McNair v. Knott,302 U.S. 369,12/13/37,1937,1930,0,0,upheld,46 Stat. 809,46 Stat. 809,71-433,6/25/30,90,71,4,,0,0,0,1,0,0,0,0,0
United States v. Stevens,302 U.S. 623,1/17/38,1938,1930,0,0,upheld,36 Stat. 736,36 Stat. 736,61-266,6/25/10,331,61,5,4,0,0,1,1,1,0,1,0,0
Kay v. United States,303 U.S. 1,1/31/38,1938,1930,0,0,upheld,Home Owners' Loan Act of 1933 Amendments,48 Stat. 643,73-178,4/27/34,45,73,4,1,0,0,1,1,0,0,1,0,1
Helvering v. Therrell,303 U.S. 218,2/28/38,1938,1930,0,0,upheld,35 Stat. 403,35 Stat. 403,60-146,5/27/08,357,60,5,,0,0,1,1,1,0,1,0,0
Helvering v. Mountain Producers Corp.,303 U.S. 376,3/7/38,1938,1930,0,0,upheld,Revenue Act of 1925,44 Stat. 9,69-20,2/26/26,145,69,5,,1,0,1,1,1,0,1,2,0
Helvering v. Mitchell,303 U.S. 391,3/7/38,1938,1930,0,0,upheld,Revenue Act of 1928,45 Stat. 791,70-562,5/29/28,118,70,1,,0,0,1,1,1,0,1,1,0
Myers v. Bethlehem Shipbuilding Corp.,303 U.S. 41,1/31/38,1938,1930,0,0,upheld,National Labor Relations Act,49 Stat. 449,74-198,7/5/35,30,74,1,,1,0,1,1,1,0,1,0,1
Electric Bond & Share Co. v. Securities & Exchange Commission,303 U.S. 419,3/28/38,1938,1930,0,0,upheld,Public Utility Act of 1935,49 Stat. 813,74-333,8/26/35,31,74,5,,1,0,1,1,0,0,1,1,1
Santa Cruz Fruit Packing Co. v. National Labor Relations Board,303 U.S. 453,3/28/38,1938,1930,0,0,upheld,National Labor Relations Act,49 Stat. 449,74-198,7/5/35,32,74,5,,1,1,1,1,0,0,1,2,1
United States v. Carolene Products Co.,304 U.S. 144,4/25/38,1938,1930,0,0,upheld,Filled Milk Act,42 Stat. 1486,67-513,3/4/23,181,67,5,4,0,0,1,0,1,0,1,1,0
United States v. Bekins,304 U.S. 27,4/25/38,1938,1930,0,0,upheld,Bankruptcy Act of 1898 Amendments,50 Stat. 653,75-302,8/16/37,8,75,4,5,0,0,1,0,1,0,1,2,1
Helvering v. National Grocery Co.,304 U.S. 282,5/16/38,1938,1930,0,0,upheld,Revenue Act of 1928,45 Stat. 814,70-562,5/29/28,120,70,5,4,0,0,1,1,1,0,1,2,0
National Labor Relations Board v. Mackay Radio & Telegraph Co.,304 U.S. 333,5/16/38,1938,1930,0,0,upheld,National Labor Relations Act,49 Stat. 449,74-198,7/5/35,34,74,4,5,1,0,1,1,1,0,1,0,1
Helvering v. Gerhardt,304 U.S. 405,5/23/38,1938,1930,0,0,upheld,Revenue Act of 1932,47 Stat. 178,72-154,6/6/32,71,72,5,,0,0,1,1,1,0,1,2,1
Allen v. Regents of the University of Georgia,304 U.S. 439,5/23/38,1938,1930,0,0,upheld,Revenue Act of 1932,47 Stat. 271,72-154,6/6/32,71,72,5,,0,0,1,1,1,0,1,5,1
In re NLRB,304 U.S. 486,5/31/38,1938,1930,0,0,upheld,National Labor Relations Act,49 Stat. 454,74-198,7/5/35,34,74,1,,1,0,1,0,0,0,1,2,1
Wright v. Union Central Life Insurance Co.,304 U.S. 502,5/31/38,1938,1930,0,0,upheld,Bankruptcy Act of 1898 Amendments,49 Stat. 942,74-384,8/28/35,33,74,4,5,1,0,0,1,1,0,0,0,1
